1274,Luis,Sánchez Aguado,Colón 31,3657432,Valencia
1794,Manuel,García Roble,Gran Vía 78,3958472,Valencia
2365,Eva,Prats Ruíz,Ercilla 8,3568976,Valencia
3860,Sergio,Oliver Perís,Salinas 5,3456789,Xátiva
4101,Jaime,Navarro Lard,Magallanes 21,3242413,Utiel
4289,Elisa,García Olmos,Juan de Mena 11,3948372,Gandía
5320,Pedro,Lorenzo Fernández,Sueca 45,3234888,Valencia
6532,Vicente,Tamarit Valls,Mirador 3,3087689,Utiel
7932,Daniel,López Pérez,Monte Mayor 42,3232387,Gandía
8129,Sonia,Sastre Vives,Carteros 23,3927472,Xátiva
